match,team,home_away,ballPossession,expectedGoals,bigChanceCreated,totalShotsOnGoal,goalkeeperSaves,cornerKicks,fouls,passes,totalTackle,freeKicks,yellowCards,shotsOnGoal,hitWoodwork,shotsOffGoal,blockedScoringAttempt,totalShotsInsideBox,totalShotsOutsideBox,bigChanceScored,bigChanceMissed,touchesInOppBox,fouledFinalThird,offsides,accuratePasses,throwIns,finalThirdEntries,finalThirdPhaseStatistic,accurateLongBalls,accurateCross,duelWonPercent,dispossessed,groundDuelsPercentage,aerialDuelsPercentage,dribblesPercentage,wonTacklePercent,interceptionWon,ballRecovery,totalClearance,errorsLeadToShot,goalsPrevented,diveSaves,highClaims,punches,goalKicks,errorsLeadToGoal,accurateThroughBall,redCards,penaltySaves
13981543,Pisa,Home,40,1,2,10,1,4,13,326,6,15,2,2,0,5,3,8,2,0,2,22,1,3,256,14,45,47,36,4,54,3,27,15,6,1,7,55,34,0,0,0,1,1,9,0,1,0,0
13981543,Inter,Away,60,2,3,14,2,6,15,506,10,13,1,3,1,6,5,10,4,1,2,33,4,2,433,20,59,148,25,5,46,4,25,11,3,5,8,47,27,0,0,0,0,0,8,0,0,0,0
13981546,Lecce,Home,48,1,1,10,5,6,16,342,17,22,2,2,0,3,5,6,4,1,0,15,3,1,251,13,61,57,28,4,59,12,46,27,9,9,2,40,39,3,0,0,0,1,10,0,0,0,1
13981546,Torino,Away,52,1,3,15,0,6,22,358,19,15,3,6,1,5,4,9,6,0,3,18,3,2,276,18,67,71,26,6,41,10,36,14,4,11,5,43,15,0,0,0,1,0,9,0,0,0,0
13981548,Como,Home,63,1,4,18,5,4,11,628,11,7,2,13,0,3,2,12,6,2,2,25,2,2,564,16,62,95,22,3,56,1,27,8,9,6,3,48,16,2,0,0,1,1,6,0,5,0,0
13981548,Sassuolo,Away,37,0,3,12,11,4,7,362,9,11,1,5,0,3,4,9,3,0,3,18,2,3,307,10,43,62,18,6,44,8,19,9,1,2,17,53,19,0,0,2,0,2,3,1,0,0,0
13981551,Juventus,Home,57,1,2,14,2,1,16,610,16,16,1,6,0,5,3,10,4,1,1,28,7,1,560,14,68,129,24,4,53,9,40,7,8,7,7,50,18,0,0,0,0,0,3,1,1,0,0
13981551,Cagliari,Away,43,0,1,5,4,6,16,454,19,16,5,3,0,1,1,3,2,1,0,11,0,0,390,10,26,37,16,3,47,9,35,6,2,12,9,43,19,1,0,2,0,0,9,0,0,0,0
13981547,Genoa,Home,60,1,3,15,4,2,9,455,19,19,1,4,1,7,4,11,4,2,1,20,4,4,366,16,68,82,27,9,54,10,42,36,5,13,4,47,37,0,0,0,0,0,6,1,1,0,0
13981547,Hellas Verona,Away,40,2,4,13,2,3,19,299,22,9,3,5,1,3,5,11,2,1,3,24,1,5,203,19,52,43,17,5,46,11,40,26,9,15,13,42,15,0,0,1,1,0,6,0,0,0,0
13981544,Parma,Home,51,0,1,17,3,5,6,341,21,19,1,2,0,6,9,8,9,0,1,19,4,2,249,19,65,52,26,4,57,9,42,18,5,9,6,51,26,0,0,1,1,1,5,1,0,1,0
13981544,Udinese,Away,49,1,3,14,2,9,19,348,16,5,2,5,0,6,3,10,4,2,1,20,1,1,266,22,47,41,22,5,43,6,26,20,6,8,6,54,45,0,0,0,2,0,6,0,1,0,0
13981559,Inter,Home,42,1,6,11,3,7,16,354,10,13,1,7,0,2,2,9,2,3,3,16,2,3,293,13,37,54,18,5,48,3,27,12,4,8,9,43,20,0,0,0,2,0,12,0,2,0,0
13981559,Como,Away,58,1,1,15,3,4,13,500,7,16,2,3,0,10,2,8,7,0,1,19,4,1,440,19,56,96,23,8,52,5,32,10,11,3,6,45,10,0,0,0,1,1,3,0,0,0,0
