match,team,player,shirt_number,position,starter,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,keeperSaveValue,totalShots,goalsPrevented,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,totalCross,duelWon,onTargetScoringAttempt,interceptionWon,totalTackle,wonTackle,expectedGoals,expectedGoalsOnTarget,shotValueNormalized,aerialWon,duelLost,shotOffTarget,blockedScoringAttempt,totalClearance,fouls,keyPass,aerialLost,totalContest,goals,errorLeadToAShot,unsuccessfulTouch,wasFouled,accurateCross,wonContest,hitWoodwork,challengeLost,dispossessed,bigChanceCreated,bigChanceMissed,totalOffside,punches,outfielderBlock,clearanceOffLine,errorLeadToAGoal,totalKeeperSweeper,accurateKeeperSweeper,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,lastManTackle,ownGoals,crossNotClaimed,penaltyFaced,penaltyConceded,penaltyWon,penaltyMiss,penaltySave
13981422,Genoa,Morten Frendrup,32,M,True,39.0,32.0,2.0,2.0,0.0,20.0,23.0,12.0,16.0,2.0,,,,87.0,54.0,7.4,10.0,0.0727824,,0,,0.12,0.08,0.25,,,8.0,,1.0,5.0,5.0,,,,2.0,3.0,,,4.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
13981422,Genoa,Valentín Carboni,23,M,True,18.0,11.0,1.0,,0.0,7.0,8.0,4.0,10.0,5.0,,,,73.0,31.0,7.3,12.0,0.00530144,,1,,0.12,0.02,0.22,,1.0,5.0,1.0,,2.0,2.0,0.1268,0.6592,0.27,,3.0,,,,1.0,,,2.0,,,2.0,1.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
13981422,Genoa,Nicolae Stanciu,8,M,True,45.0,32.0,5.0,3.0,0.0,18.0,22.0,14.0,23.0,5.0,,,,87.0,63.0,7.0,20.0,0.02414,,3,,0.19,0.21,0.18,,4.0,3.0,,2.0,2.0,2.0,0.3427,,-0.44,1.0,1.0,2.0,1.0,2.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981422,Genoa,Albert Grønbæk,11,M,True,12.0,9.0,,,0.0,3.0,4.0,6.0,8.0,1.0,,,,60.0,28.0,7.0,12.0,0.0799859,,0,,0.19,0.16,-0.01,,1.0,4.0,,,,,,,,1.0,2.0,,,,,2.0,,3.0,,,5.0,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
13981422,Genoa,Lorenzo Colombo,29,F,True,14.0,7.0,,,0.0,5.0,9.0,2.0,5.0,1.0,,,,73.0,22.0,6.2,10.0,0.00682628,,0,,-0.08,0.03,0.23,,,4.0,,,,,,,,3.0,11.0,,,,4.0,,7.0,1.0,,,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
13981422,Genoa,Junior Messias,10,F,False,6.0,5.0,1.0,1.0,0.0,3.0,4.0,2.0,2.0,2.0,,,,30.0,19.0,6.8,6.0,0.00245473,,0,,0.03,0.01,0.18,,,4.0,,,1.0,,,,,,3.0,,,,1.0,,,3.0,,,3.0,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
13981422,Genoa,Mikael Ellertsson,77,M,False,5.0,3.0,,,0.0,2.0,3.0,1.0,2.0,1.0,,,,17.0,7.0,6.5,2.0,0.00101461,,0,,0.02,,-0.04,,,1.0,,,,,,,,,2.0,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13981422,Genoa,Jeff Ekhator,21,F,False,5.0,2.0,,,0.0,1.0,2.0,1.0,3.0,1.0,,,,17.0,9.0,6.5,3.0,0.00010755,,0,,-0.1,0.06,0.0,,,3.0,,,,,,,,1.0,4.0,,,,2.0,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981422,Genoa,Morten Thorsby,2,M,False,2.0,1.0,,,0.0,,1.0,1.0,1.0,,,,,8.0,3.0,6.5,1.0,0.00244136,,0,,0.02,,0.13,,,,,,,,,,,,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981422,Genoa,Vitinha,9,F,False,1.0,,1.0,,0.0,,,,1.0,1.0,,,,8.0,7.0,6.3,6.0,,,0,,-0.08,0.04,-0.01,,2.0,1.0,,,,,,,,,4.0,,,,,,1.0,3.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
